branch,hour,year,NR
Hunt. Hicks.,13,2018,37
Hunt. Hicks.,14,2018,57
Hunt. Hicks.,15,2018,92
Hunt. Hicks.,16,2018,70
Hunt. Hicks.,17,2018,146
Hunt. Hicks.,18,2018,151
Hunt. Hicks.,19,2018,87
Hunt. Hicks.,20,2018,69
Hunt. Hicks.,21,2018,77
Hunt. Hicks.,22,2018,45
Hunt. Hicks.,23,2018,76
Long Beach,0,2010,7
Long Beach,1,2010,5
Long Beach,2,2010,
Long Beach,3,2010,15
Long Beach,4,2010,
Long Beach,5,2010,4
Long Beach,6,2010,15
Long Beach,7,2010,39
Long Beach,8,2010,55
Long Beach,9,2010,19
Long Beach,10,2010,19
Long Beach,11,2010,21
Long Beach,12,2010,6
Long Beach,13,2010,18
Long Beach,14,2010,15
Long Beach,15,2010,23
Long Beach,16,2010,45
Long Beach,17,2010,68
Long Beach,18,2010,40
Long Beach,19,2010,34
Long Beach,20,2010,31
Long Beach,21,2010,12
Long Beach,22,2010,6
Long Beach,23,2010,6
Long Beach,0,2011,17
Long Beach,1,2011,6
Long Beach,2,2011,
Long Beach,3,2011,15
Long Beach,4,2011,
Long Beach,5,2011,12
Long Beach,6,2011,40
Long Beach,7,2011,95
Long Beach,8,2011,73
Long Beach,9,2011,34
Long Beach,10,2011,29
Long Beach,11,2011,40
Long Beach,12,2011,24
Long Beach,13,2011,21
Long Beach,14,2011,25
Long Beach,15,2011,33
Long Beach,16,2011,78
Long Beach,17,2011,114
Long Beach,18,2011,60
Long Beach,19,2011,49
Long Beach,20,2011,38
Long Beach,21,2011,35
Long Beach,22,2011,23
Long Beach,23,2011,18
Long Beach,0,2012,11
Long Beach,1,2012,3
Long Beach,2,2012,
Long Beach,3,2012,9
Long Beach,4,2012,5
Long Beach,5,2012,14
Long Beach,6,2012,31
Long Beach,7,2012,67
Long Beach,8,2012,54
Long Beach,9,2012,34
Long Beach,10,2012,14
Long Beach,11,2012,29
Long Beach,12,2012,25
Long Beach,13,2012,13
Long Beach,14,2012,12
Long Beach,15,2012,28
Long Beach,16,2012,56
Long Beach,17,2012,104
Long Beach,18,2012,61
Long Beach,19,2012,44
Long Beach,20,2012,46
Long Beach,21,2012,28
Long Beach,22,2012,16
Long Beach,23,2012,17
Long Beach,0,2013,5
Long Beach,1,2013,2
Long Beach,2,2013,
Long Beach,3,2013,11
Long Beach,4,2013,2
Long Beach,5,2013,13
Long Beach,6,2013,38
Long Beach,7,2013,135
Long Beach,8,2013,110
Long Beach,9,2013,70
Long Beach,10,2013,35
Long Beach,11,2013,45
Long Beach,12,2013,43
Long Beach,13,2013,23
Long Beach,14,2013,35
Long Beach,15,2013,37
Long Beach,16,2013,82
Long Beach,17,2013,123
Long Beach,18,2013,70
Long Beach,19,2013,42
Long Beach,20,2013,36
Long Beach,21,2013,18
Long Beach,22,2013,14
Long Beach,23,2013,8
Long Beach,0,2014,9
Long Beach,1,2014,12
Long Beach,2,2014,
Long Beach,3,2014,18
Long Beach,4,2014,5
Long Beach,5,2014,15
Long Beach,6,2014,38
Long Beach,7,2014,120
Long Beach,8,2014,164
Long Beach,9,2014,39
Long Beach,10,2014,61
Long Beach,11,2014,39
Long Beach,12,2014,49
Long Beach,13,2014,27
Long Beach,14,2014,35
